# plot-scripts/compare.sh processed/delay.dat "Varying Client Retry Delay" "Client retry delay"
# retry delay, throughput, std(throughput), response time, std(response), confidence, confidence2, simulated packets, simulated response time
25 2715 280 863 106 23529692 18933191 2792 25785991
50 2619 283 915 113 18891474 16637220 2793 19327204
75 2599 278 948 106 14166052 17387385 2747 13416429
100 2498 240 927 95 10156291 15594882 2431 11221944
125 2261 242 847 94 8391105 16290358 2091 10799421
150 2063 170 776 67 6461675 15856227 1821 10723691


